"class","oldMethodName","newMethodName","tokens"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistorioDocumentosThrowsException","testGetHistorioDocumentos","761"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistoricoSolicitud","testGetHistoricoSolicitud","436"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistoricoSolicitudWithZero","testGetHistoricoSolicitudWithNullOutput","521"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistoricoAnexos","testGetHistoricoAnexos","413"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistoricoAnexosDesistimiento","testGetHistoricoAnexosDesistimiento","531"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistoricoAdjuntosEntreEntregas","testGetHistoricoAdjuntosEntreEntregas","287"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistorioDocumentosThrowsRuntimeException","testGetHistoricoDocumentosWithNullIdExpTrewa","277"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistoricoSolicitudes","testGetHistoricoSolicitudesWithNullIdExpTrewa","426"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistoricoAdjuntos","testGetHistoricoAdjuntosWithNullIdExpTrewa","323"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistoricoAdjuntosWithZero","testGetHistoricoAdjuntosWithoutId","488"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistoricoAdjuntosThrowsNullPointerException","getHistoricoAdjuntosWithNullIdTest","288"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistoricoAdjuntosEntreEntregasThrowsNullPointerException","getHistoricoAdjuntosWithNullIdTest2","299"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistoricoAnexosThrowsNullPointerException","getHistoricoAnexosWithNullIdExpNullPointerException","292"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistoricoAnexosDesistimientoThrowsNullPointerException","getHistoricoAnexosDesistimientoWithNullIdExpNullPointerException","310"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistoricoSolicitudThrowsNullPointerException","getHistoricoSolicitudWithNullIdExpNullPointerException","317"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistoricoSolicitudesThrowsNullPointerException","testGetHistoricoSolicitudesWithNullIdExpNullPointerException","331"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistorioDocumentosThrowsNullPointerException","getHistoricoDocumentosWithNullInputAccionHistoricoDocumentos","351"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","testGetHistoricoRecibiThrowsNullPointerException","getHistoricoRecibiWithNullIdExpNullPointerException","615"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","testGuardarDatosFormularioWithNull","testGuardarDatosFormulario","96"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","testCreatesFormulariosServiceImpl0","testGuardarDatosFormularioWithNullIdSolicitudesPDF","161"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","testGuardarDatosFormularioThrowsException","testGuardarDatosFormularioWithException","236"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","testCreatesFormulariosServiceImpl1","testGuardarDatosFormularioWithoutIdSolicitudesPDF","402"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","testRecuperarDatosFormulario","testRecuperarDatosFormulario","386"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","testRecuperarDatosFormularioThrowsException","testRecuperarDatosFormularioWithException","388"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","testRecuperarDatosFormularioReturningJSONObjectWhereIsEmptyIsFalse","testRecuperarDatosFormularioWithOptional","597"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","testRecuperarDatosFormularioJSONThrowsException","testRecuperarDatosFormularioJSON","494"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","testRecuperarDatosFormularioJSON","testRecuperarDatosFormularioJSON2","552"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","testRecuperarDatosFormularioReturningJSONObjectWhereIsEmptyIsTrue","testRecuperarDatosFormularioJSON3","533"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","testTramitacionAEventoDesistimientoThrowsException","testTramitacionAEventoDesistimiento","597"
