"class","oldMethodName","newMethodName","tokens"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistorioDocumentosThrowsException","GetHistorioDocumentos","761"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistoricoSolicitud","GetHistoricoSolicitud","436"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistoricoSolicitudWithZero","GetHistoricoSolicitudWithNullOutput","521"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistoricoAnexos","GetHistoricoAnexos","413"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistoricoAnexosDesistimiento","GetHistoricoAnexosDesistimiento","531"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistoricoAdjuntosEntreEntregas","GetHistoricoAdjuntosEntreEntregas","287"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistorioDocumentosThrowsRuntimeException","GetHistoricoDocumentosWithNullIdExpTrewa","277"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistoricoSolicitudes","GetHistoricoSolicitudesWithNullIdExpTrewa","426"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistoricoAdjuntos","GetHistoricoAdjuntosWithNullIdExpTrewa","323"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistoricoAdjuntosWithZero","GetHistoricoAdjuntosWithoutId","488"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistoricoAdjuntosThrowsNullPointerException","getHistoricoAdjuntosWithNullIdTest","288"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistoricoAdjuntosEntreEntregasThrowsNullPointerException","getHistoricoAdjuntosWithNullIdTest2","299"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistoricoAnexosThrowsNullPointerException","getHistoricoAnexosWithNullIdExpNullPointerException","292"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistoricoAnexosDesistimientoThrowsNullPointerException","getHistoricoAnexosDesistimientoWithNullIdExpNullPointerException","310"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistoricoSolicitudThrowsNullPointerException","getHistoricoSolicitudWithNullIdExpNullPointerException","317"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistoricoSolicitudesThrowsNullPointerException","GetHistoricoSolicitudesWithNullIdExpNullPointerException","331"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistorioDocumentosThrowsNullPointerException","getHistoricoDocumentosWithNullInputAccionHistoricoDocumentos","351"
"/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java","GetHistoricoRecibiThrowsNullPointerException","getHistoricoRecibiWithNullIdExpNullPointerException","615"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","GuardarDatosFormularioWithNull","GuardarDatosFormulario","96"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","CreatesFormulariosServiceImpl0","GuardarDatosFormularioWithNullIdSolicitudesPDF","161"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","GuardarDatosFormularioThrowsException","GuardarDatosFormularioWithException","236"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","CreatesFormulariosServiceImpl1","GuardarDatosFormularioWithoutIdSolicitudesPDF","402"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","RecuperarDatosFormulario","RecuperarDatosFormulario","386"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","RecuperarDatosFormularioThrowsException","RecuperarDatosFormularioWithException","388"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","RecuperarDatosFormularioReturningJSONObjectWhereIsEmptyIsFalse","RecuperarDatosFormularioWithOptional","597"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","RecuperarDatosFormularioJSONThrowsException","RecuperarDatosFormularioJSON","494"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","RecuperarDatosFormularioJSON","RecuperarDatosFormularioJSON2","552"
"/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java","RecuperarDatosFormularioReturningJSONObjectWhereIsEmptyIsTrue","RecuperarDatosFormularioJSON3","533"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","TramitacionAEventoDesistimientoThrowsException","TramitacionAEventoDesistimiento","597"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","CrearActualizarFirmanteThrowsNullPointerException","CrearActualizarFirmante","244"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","ExtractoThrowsNullPointerException","Extracto","159"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","ObtenerIdDocEni","ObtenerIdDocEni","408"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","CreatesMetodosEntregaServiceImplAndCallsCalcularIdAppAlfresco0","CalcularIdAppAlfresco","160"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","CreatesMetodosEntregaServiceImplAndCallsCalcularIdAppAlfresco1","CalcularIdAppAlfresco2","187"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","CalcularIdAppAlfrescoThrowsException","CalcularIdAppAlfrescoWithInvalidInput","210"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","ObtenerUnidadOrganica","ObtenerUnidadOrganica","457"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","ObtenerUnidadOrganicaThrowsException","ObtenerUnidadOrganicaWithException","541"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","CalcularIdAppAlfrescoThrowsNullPointerException","CalcularIdAppAlfrescoWithNullInput","227"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","ExtractoThrowsStringIndexOutOfBoundsException","ExtractoWithException","355"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","GetDatosProcesoEntregaDelFormularioThrowsNullPointerException","GetDatosProcesoEntregaDelFormulario","272"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","ObtenerIdDocEniThrowsNullPointerException","ObtenerIdDocEniWithNullPointerException","271"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","CompruebaFaseEnPlazoWithNull","compruebaFaseEnPlazoWithNullInput","653"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","CrearDocumentoThrowsNullPointerException","CrearDocumento","647"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","CrearFirmaThrowsNullPointerException","CrearFirma","371"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","CompruebaFaseEnPlazoWithNonEmptyString","CompruebaFaseEnPlazoWithNullPointerException","348"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","ExtractoAndExtractoWithNegativeAndExtractoWithEmptyString0","ExtractoWithTimeout","386"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","ExtractoAndExtractoWithNegativeAndExtractoWithEmptyString1","ExtractoWithTimeout2","329"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","ExtractoWithZero","ExtractoWithTimeout3","325"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","ExtractoAndExtractoWithNullAndExtractoWithNonEmptyString0","ExtractoWithTimeout4","407"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","ExtractoAndExtractoWithNullAndExtractoWithNonEmptyString1","ExtractoWithTimeout5","402"
"/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java","ExtractoAndExtractoWithNullAndExtractoWithNonEmptyString2","ExtractoWithTimeout6","346"
"/Users/rsain/Downloads/tests/PDFnormalizadoServiceImpl_ESTest.java","GenerarPdfNormalizadoThrowsRuntimeException","GenerarPdfNormalizado","226"
"/Users/rsain/Downloads/tests/PDFnormalizadoServiceImpl_ESTest.java","GenerarPdfNormalizadoThrowsNullPointerException","GenerarPdfNormalizadoWithNullInput","183"
"/Users/rsain/Downloads/tests/PDFnormalizadoServiceImpl_ESTest.java","GenerarPdfNormalizadoThrowsException","GenerarPdfNormalizadoWithException","466"
