class,oldMethodName,newMethodName,tokens,similarity
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistorioDocumentosThrowsException,GetHistorioDocumentos,761,0.9311952146865327
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistoricoSolicitud,GetHistoricoSolicitud,436,1.0
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistoricoSolicitudWithZero,GetHistoricoSolicitudWithNullOutput,521,0.908296945212685
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistoricoAnexos,GetHistoricoAnexos,413,1.0
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistoricoAnexosDesistimiento,GetHistoricoAnexosDesistimiento,531,1.0
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistoricoAdjuntosEntreEntregas,GetHistoricoAdjuntosEntreEntregas,287,1.0
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistorioDocumentosThrowsRuntimeException,GetHistoricoDocumentosWithNullIdExpTrewa,277,0.7392128278974979
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistoricoSolicitudes,GetHistoricoSolicitudesWithNullIdExpTrewa,426,0.6508010159386592
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistoricoAdjuntos,GetHistoricoAdjuntosWithNullIdExpTrewa,323,0.6763606814763127
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistoricoAdjuntosWithZero,GetHistoricoAdjuntosWithoutId,488,0.7438327173983851
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistoricoAdjuntosThrowsNullPointerException,getHistoricoAdjuntosWithNullIdTest,288,0.8189962473050836
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistoricoAdjuntosEntreEntregasThrowsNullPointerException,getHistoricoAdjuntosWithNullIdTest2,299,0.6946554010643615
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistoricoAnexosThrowsNullPointerException,getHistoricoAnexosWithNullIdExpNullPointerException,292,0.8685062889600792
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistoricoAnexosDesistimientoThrowsNullPointerException,getHistoricoAnexosDesistimientoWithNullIdExpNullPointerException,310,0.8692029734501321
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistoricoSolicitudThrowsNullPointerException,getHistoricoSolicitudWithNullIdExpNullPointerException,317,0.870473926940679
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistoricoSolicitudesThrowsNullPointerException,GetHistoricoSolicitudesWithNullIdExpNullPointerException,331,0.8667075298796295
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistorioDocumentosThrowsNullPointerException,getHistoricoDocumentosWithNullInputAccionHistoricoDocumentos,351,0.8003970335191957
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,GetHistoricoRecibiThrowsNullPointerException,getHistoricoRecibiWithNullIdExpNullPointerException,615,0.8761671065579352
/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java,GuardarDatosFormularioWithNull,GuardarDatosFormulario,96,0.8770934110351778
