class,oldMethodName,newMethodName,tokens,similarity
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistorioDocumentosThrowsException,testGetHistorioDocumentos,761,0.9188582655087243
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistoricoSolicitud,testGetHistoricoSolicitud,436,1.0
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistoricoSolicitudWithZero,testGetHistoricoSolicitudWithNullOutput,521,0.9271849768212458
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistoricoAnexos,testGetHistoricoAnexos,413,1.0
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistoricoAnexosDesistimiento,testGetHistoricoAnexosDesistimiento,531,1.0
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistoricoAdjuntosEntreEntregas,testGetHistoricoAdjuntosEntreEntregas,287,1.0
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistorioDocumentosThrowsRuntimeException,testGetHistoricoDocumentosWithNullIdExpTrewa,277,0.6230589095134198
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistoricoSolicitudes,testGetHistoricoSolicitudesWithNullIdExpTrewa,426,0.5715913442546489
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistoricoAdjuntos,testGetHistoricoAdjuntosWithNullIdExpTrewa,323,0.48447735033142053
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistoricoAdjuntosWithZero,testGetHistoricoAdjuntosWithoutId,488,0.5068665984153211
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistoricoAdjuntosThrowsNullPointerException,getHistoricoAdjuntosWithNullIdTest,288,0.46308718764394285
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistoricoAdjuntosEntreEntregasThrowsNullPointerException,getHistoricoAdjuntosWithNullIdTest2,299,0.4464233278251485
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistoricoAnexosThrowsNullPointerException,getHistoricoAnexosWithNullIdExpNullPointerException,292,0.5332163711710666
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistoricoAnexosDesistimientoThrowsNullPointerException,getHistoricoAnexosDesistimientoWithNullIdExpNullPointerException,310,0.5332164139282838
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistoricoSolicitudThrowsNullPointerException,getHistoricoSolicitudWithNullIdExpNullPointerException,317,0.5662074398774848
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistoricoSolicitudesThrowsNullPointerException,testGetHistoricoSolicitudesWithNullIdExpNullPointerException,331,0.721209361637466
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistorioDocumentosThrowsNullPointerException,getHistoricoDocumentosWithNullInputAccionHistoricoDocumentos,351,0.6863111055484986
/Users/rsain/Downloads/tests/HistoricoDocumentosServiceImpl_ESTest.java,testGetHistoricoRecibiThrowsNullPointerException,getHistoricoRecibiWithNullIdExpNullPointerException,615,0.5332163711710666
/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java,testGuardarDatosFormularioWithNull,testGuardarDatosFormulario,96,0.7181502398502803
/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java,testCreatesFormulariosServiceImpl0,testGuardarDatosFormularioWithNullIdSolicitudesPDF,161,0.2482767833592512
/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java,testGuardarDatosFormularioThrowsException,testGuardarDatosFormularioWithException,236,0.8168972478909199
/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java,testCreatesFormulariosServiceImpl1,testGuardarDatosFormularioWithoutIdSolicitudesPDF,402,0.2215073563038144
/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java,testRecuperarDatosFormulario,testRecuperarDatosFormulario,386,1.0
/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java,testRecuperarDatosFormularioThrowsException,testRecuperarDatosFormularioWithException,388,0.8168972478909199
/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java,testRecuperarDatosFormularioReturningJSONObjectWhereIsEmptyIsFalse,testRecuperarDatosFormularioWithOptional,597,0.3888912123792558
/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java,testRecuperarDatosFormularioJSONThrowsException,testRecuperarDatosFormularioJSON,494,0.9807969429965994
/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java,testRecuperarDatosFormularioJSON,testRecuperarDatosFormularioJSON2,552,1.0
/Users/rsain/Downloads/tests/FormulariosServiceImpl_ESTest.java,testRecuperarDatosFormularioReturningJSONObjectWhereIsEmptyIsTrue,testRecuperarDatosFormularioJSON3,533,0.7475357766580664
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testTramitacionAEventoDesistimientoThrowsException,testTramitacionAEventoDesistimiento,597,0.9566918074591758
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testCrearActualizarFirmanteThrowsNullPointerException,testCrearActualizarFirmante,244,0.67228369178162
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testExtractoThrowsNullPointerException,testExtracto,159,0.5562343527872741
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testObtenerIdDocEni,testObtenerIdDocEni,408,1.0
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testCreatesMetodosEntregaServiceImplAndCallsCalcularIdAppAlfresco0,testCalcularIdAppAlfresco,160,0.8141830261761568
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testCreatesMetodosEntregaServiceImplAndCallsCalcularIdAppAlfresco1,testCalcularIdAppAlfresco2,187,0.8141830261761568
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testCalcularIdAppAlfrescoThrowsException,testCalcularIdAppAlfrescoWithInvalidInput,210,0.945089488349967
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testObtenerUnidadOrganica,testObtenerUnidadOrganica,457,1.0
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testObtenerUnidadOrganicaThrowsException,testObtenerUnidadOrganicaWithException,541,0.8415112332306619
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testCalcularIdAppAlfrescoThrowsNullPointerException,testCalcularIdAppAlfrescoWithNullInput,227,0.9479429682552374
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testExtractoThrowsStringIndexOutOfBoundsException,testExtractoWithException,355,0.6958679594325969
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testGetDatosProcesoEntregaDelFormularioThrowsNullPointerException,testGetDatosProcesoEntregaDelFormulario,272,0.892046204707945
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testObtenerIdDocEniThrowsNullPointerException,testObtenerIdDocEniWithNullPointerException,271,0.9674098099838111
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testCompruebaFaseEnPlazoWithNull,compruebaFaseEnPlazoWithNullInput,653,0.9107430046743037
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testCrearDocumentoThrowsNullPointerException,testCrearDocumento,647,0.774438484665461
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testCrearFirmaThrowsNullPointerException,testCrearFirma,371,0.7826732429626452
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testCompruebaFaseEnPlazoWithNonEmptyString,testCompruebaFaseEnPlazoWithNullPointerException,348,0.8907776866995348
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testExtractoAndExtractoWithNegativeAndExtractoWithEmptyString0,testExtractoWithTimeout,386,0.719392131590463
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testExtractoAndExtractoWithNegativeAndExtractoWithEmptyString1,testExtractoWithTimeout2,329,0.719392131590463
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testExtractoWithZero,testExtractoWithTimeout3,325,0.8498547117775752
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testExtractoAndExtractoWithNullAndExtractoWithNonEmptyString0,testExtractoWithTimeout4,407,0.6806061021289704
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testExtractoAndExtractoWithNullAndExtractoWithNonEmptyString1,testExtractoWithTimeout5,402,0.6806061021289704
/Users/rsain/Downloads/tests/MetodosEntregaServiceImpl_ESTest.java,testExtractoAndExtractoWithNullAndExtractoWithNonEmptyString2,testExtractoWithTimeout6,346,0.6806061021289704
/Users/rsain/Downloads/tests/PDFnormalizadoServiceImpl_ESTest.java,testGenerarPdfNormalizadoThrowsRuntimeException,testGenerarPdfNormalizado,226,0.8845948102767983
/Users/rsain/Downloads/tests/PDFnormalizadoServiceImpl_ESTest.java,testGenerarPdfNormalizadoThrowsNullPointerException,testGenerarPdfNormalizadoWithNullInput,183,0.8900387904451678
/Users/rsain/Downloads/tests/PDFnormalizadoServiceImpl_ESTest.java,testGenerarPdfNormalizadoThrowsException,testGenerarPdfNormalizadoWithException,466,0.9068102039232853
